name,price,description,amount,image,category
"Refrigerante Coca-Cola Sabor Original 1,5L","5,69","Com sabor inconfundível e único, a Coca-Cola Original é o refrigerante mais tradicional e consumido no mundo inteiro. Toda Coca-Cola Original é produzida especialmente para manter sempre a qualidade do melhor sabor de refrigerante. Uma garrafa de Coca-Cola Original 1,5L é perfeita para compartilhar os melhores momentos da vida com amigos e familiares.",30,https://muffatosupermercados.vteximg.com.br/arquivos/ids/250298-1000-1000/7894900011753.jpg?v=636942988845670000,Bebidas
Refrigerante Fanta Laranja 2L,"5,98","Com sabor irresistível e único, o Refrigerante FANTA Laranja faz muito sucesso no mercado entre os refrigerantes nacionais e internacionais. Produzido com água gaseificada, açúcar e suco de laranja é uma excelente opção para matar a sede! Compre Refrigerante FANTA Laranja Garrafa 2 Litros e experimente esse sabor inconfundível! Compartilhe com amigos e familiares!",30,https://muffatosupermercados.vteximg.com.br/arquivos/ids/276400-1000-1000/7894900031515.jpg?v=637360307330170000,Bebidas
Energético Monster Energy 473ml,"7,49","Nosso carro chefe! O produto lançado, que já é líder em vendas nos Estados Unidos e México, promete conquistar muitos consumidores no Brasil também, oferecendo o dobro de energia pelo mesmo preço do concorrente. O novo energético oferece 5 sabores: Green, Lo-carb, Ultra, Juice e Assault. Energético à base de Guaraná, Cafeína, Taurina e Ginseng. Vitaminas: B2, B3, B6 e B12.",30,https://muffatosupermercados.vteximg.com.br/arquivos/ids/274623-1000-1000/70847022015.jpg?v=637333766505100000,Bebidas
"Chá Matte Leão Natural 1,5L","5,49","Chá matte leão sabor original 1,5l",30,https://muffatosupermercados.vteximg.com.br/arquivos/ids/281041-1000-1000/7891098040565_2.jpg?v=637412279641470000,Bebidas
"Água Mineral Ouro Fino sem Gás 10L
","14,9","SEDE: UM AVISO DO SEU CORPO
A sensação de sede é uma forma do seu organismo avisar que ele está precisando se hidratar. Mas não deixe que isso aconteça! Tome água regularmente e comece a perceber as mudanças benéficas que isso pode trazer ao ser corpo!

HIDRATE-SE COM A MELHOR!
A Água Mineral Ouro Fino é proveniente de uma única fonte, o que garante que todos os nosso produtos possuem as mesmas características, além é claro, das propriedades digestivas, baixo teor de sódio e o pH ideal para seu organismo. Compare e comprove, nossa qualidade é inigualável!",30,https://muffatosupermercados.vteximg.com.br/arquivos/ids/254074-1000-1000/7896262501002.jpg?v=637020734297000000,Bebidas
Cerveja Skol Lata 350ml com 18 Unidades,"41,22","Skol Pilsen é uma típica cerveja clara, com aroma refinado e sabor leve e suave. Seu teor de amargor é menos acentuado e seu teor alcoólico é médio. Harmonização Por ser uma cerveja leve, não deve ser harmonizada com pratos de sabor muito forte. Combina saladas, camarão e mariscos. INGREDIENTES: Água, malte, milho e lúpulo. ALERGÊNICOS: Contém cevada e glúten. - Categoria: American Lager; - Temperatura ideal: 0-4 ºC; - IBU: 8;",30,https://muffatosupermercados.vteximg.com.br/arquivos/ids/246355-1000-1000/7891149107773.jpg?v=636806678259970000,Bebidas
Macarrão Instantâneo Nissin Yakissoba 500g,"5,39",Pacote de 500g. Rende 6 porções.,30,https://muffatosupermercados.vteximg.com.br/arquivos/ids/257146-1000-1000/7891079011515.jpg?v=637093597858130000,Massas
Macarrão Instantâneo Nissin Lámen Carne 85g,"1,69",Porção 85g - 80g de macarrão e 5g de tempero.,30,https://muffatosupermercados.vteximg.com.br/arquivos/ids/257093-1000-1000/7891079000205.jpg?v=637093563564430000,Massas
Cup Noodles Nissin Galinha Caipira 69g,"3,59","Mate a fome de um jeito delicioso: com o novo Cup Noodles Galinha Caipira. Prove o sabor intenso e surpreendente do frango com leve toque de azeite e alho. E não se esqueça: agora com duas vezes mais ingredientes de frango, cebolinha, cenoura e o lançamento ovo. CUP NOODLES é abriu, pirou!",30,https://muffatosupermercados.vteximg.com.br/arquivos/ids/257080-1000-1000/7891079013038.jpg?v=637093534872230000,Massas
Macarrão Todeschini Espaguete com Ovos 500g,"3,59",Macarrão tipo espaguete 500g,30,https://muffatosupermercados.vteximg.com.br/arquivos/ids/270164-1000-1000/7896022205720.jpg?v=637266118555470000,Massas
